Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
DRUG OFFENSE,Visakhapatnam,58,F,Explosives,Other Crime,19,No,6
EXTORTION,Lucknow,45,F,Other,Other Crime,3,Yes,7
CYBERCRIME,Bhopal,25,M,Unknown,Other Crime,6,No,5
BURGLARY,Visakhapatnam,22,M,Knife,Other Crime,17,Yes,6
PUBLIC INTOXICATION,Hyderabad,59,F,Explosives,Other Crime,8,Yes,1
FIREARM OFFENSE,Visakhapatnam,31,F,Firearm,Fire Accident,1,No,8
FIREARM OFFENSE,Kolkata,58,F,Poison,Fire Accident,6,No,8
ARSON,Nagpur,53,F,Knife,Fire Accident,1,Yes,9
BURGLARY,Lucknow,35,F,Blunt Object,Other Crime,2,No,6
ARSON,Chennai,36,M,Firearm,Fire Accident,5,Yes,9
CYBERCRIME,Ahmedabad,70,F,Knife,Other Crime,18,No,5
VANDALISM,Delhi,52,M,Explosives,Other Crime,7,Yes,3
KIDNAPPING,Mumbai,25,F,Explosives,Other Crime,14,No,9
IDENTITY THEFT,Indore,58,F,Knife,Violent Crime,10,Yes,4
ROBBERY,Mumbai,39,F,Poison,Violent Crime,4,No,8
VEHICLE - STOLEN,Visakhapatnam,54,F,Unknown,Violent Crime,15,Yes,5
ASSAULT,Delhi,61,F,Knife,Violent Crime,10,Yes,8
FRAUD,Jaipur,16,F,Explosives,Other Crime,17,No,4
ROBBERY,Mumbai,25,F,Firearm,Violent Crime,14,Yes,8
TRAFFIC VIOLATION,Kolkata,72,F,Blunt Object,Traffic Fatality,9,Yes,2
PUBLIC INTOXICATION,Lucknow,48,M,Firearm,Other Crime,3,No,1
VANDALISM,Mumbai,22,M,Other,Other Crime,5,Yes,3
PUBLIC INTOXICATION,Lucknow,30,F,Firearm,Other Crime,10,Yes,1
ROBBERY,Rajkot,11,F,Firearm,Violent Crime,1,No,8
HOMICIDE,Mumbai,16,F,Knife,Other Crime,6,No,10
VEHICLE - STOLEN,Hyderabad,73,F,Blunt Object,Violent Crime,12,No,5
BURGLARY,Kolkata,72,F,Poison,Other Crime,9,No,6
CYBERCRIME,Jaipur,60,F,Unknown,Other Crime,7,No,5
FRAUD,Hyderabad,53,M,Unknown,Other Crime,13,Yes,4
SEXUAL ASSAULT,Mumbai,42,F,Firearm,Violent Crime,3,No,9
PUBLIC INTOXICATION,Vasai,10,M,Firearm,Other Crime,11,No,1
DRUG OFFENSE,Hyderabad,51,F,Blunt Object,Other Crime,7,No,6
IDENTITY THEFT,Nagpur,26,F,Explosives,Violent Crime,5,Yes,4
SEXUAL ASSAULT,Kolkata,71,M,Blunt Object,Violent Crime,6,No,9
IDENTITY THEFT,Hyderabad,74,F,Explosives,Violent Crime,15,Yes,4
DRUG OFFENSE,Hyderabad,13,F,Other,Other Crime,13,Yes,6
PUBLIC INTOXICATION,Ahmedabad,50,F,Knife,Other Crime,1,Yes,1
EXTORTION,Mumbai,69,F,Explosives,Other Crime,18,No,7
ASSAULT,Kanpur,34,F,Other,Violent Crime,6,No,8
VEHICLE - STOLEN,Mumbai,38,F,Poison,Violent Crime,14,Yes,5
FRAUD,Lucknow,44,F,Blunt Object,Other Crime,16,No,4
VEHICLE - STOLEN,Hyderabad,69,F,Unknown,Violent Crime,12,Yes,5
DOMESTIC VIOLENCE,Lucknow,12,F,Blunt Object,Violent Crime,1,No,8
ARSON,Bangalore,21,F,Poison,Fire Accident,3,Yes,9
PUBLIC INTOXICATION,Chennai,55,F,Blunt Object,Other Crime,8,No,1
ARSON,Delhi,15,F,Other,Fire Accident,9,No,9
ILLEGAL POSSESSION,Visakhapatnam,58,F,Explosives,Other Crime,5,Yes,5
COUNTERFEITING,Delhi,37,F,Unknown,Other Crime,6,No,4
HOMICIDE,Bangalore,49,F,Knife,Other Crime,7,Yes,10
EXTORTION,Surat,30,M,Poison,Other Crime,5,No,7
FIREARM OFFENSE,Pune,50,F,Blunt Object,Fire Accident,15,Yes,8
BURGLARY,Mumbai,64,F,Knife,Other Crime,10,No,6
VANDALISM,Lucknow,43,M,Poison,Other Crime,14,Yes,3
DRUG OFFENSE,Delhi,32,M,Explosives,Other Crime,13,Yes,6
ILLEGAL POSSESSION,Mumbai,14,M,Poison,Other Crime,3,Yes,5
TRAFFIC VIOLATION,Pune,70,M,Unknown,Traffic Fatality,3,Yes,2
VEHICLE - STOLEN,Ahmedabad,78,F,Firearm,Violent Crime,10,Yes,5
KIDNAPPING,Delhi,22,F,Other,Other Crime,19,Yes,9
VANDALISM,Bhopal,60,F,Unknown,Other Crime,4,No,3
SEXUAL ASSAULT,Ludhiana,44,F,Blunt Object,Violent Crime,2,No,9
FRAUD,Pune,30,M,Knife,Other Crime,14,No,4
ASSAULT,Pune,62,F,Unknown,Violent Crime,10,No,8
FIREARM OFFENSE,Surat,42,F,Unknown,Fire Accident,8,No,8
IDENTITY THEFT,Ghaziabad,73,F,Knife,Violent Crime,2,Yes,4
SHOPLIFTING,Kanpur,25,M,Explosives,Other Crime,15,No,2
ROBBERY,Ghaziabad,33,M,Other,Violent Crime,3,Yes,8
ARSON,Agra,13,F,Poison,Fire Accident,19,No,9
IDENTITY THEFT,Lucknow,39,F,Knife,Violent Crime,8,No,4
HOMICIDE,Bangalore,18,M,Unknown,Other Crime,2,No,10
ILLEGAL POSSESSION,Lucknow,75,F,Knife,Other Crime,8,No,5
VANDALISM,Delhi,50,F,Other,Other Crime,15,No,3
FRAUD,Delhi,71,F,Other,Other Crime,7,No,4
PUBLIC INTOXICATION,Ahmedabad,38,F,Explosives,Other Crime,12,Yes,1
ASSAULT,Mumbai,12,M,Blunt Object,Violent Crime,6,No,8
KIDNAPPING,Kanpur,57,F,Other,Other Crime,2,No,9
CYBERCRIME,Jaipur,47,F,Firearm,Other Crime,16,Yes,5
DOMESTIC VIOLENCE,Delhi,73,F,Other,Violent Crime,14,No,8
FIREARM OFFENSE,Mumbai,41,F,Blunt Object,Fire Accident,4,Yes,8
ILLEGAL POSSESSION,Mumbai,45,F,Unknown,Other Crime,2,No,5
ASSAULT,Varanasi,79,F,Firearm,Violent Crime,14,Yes,8
IDENTITY THEFT,Ludhiana,17,M,Firearm,Violent Crime,10,No,4
PUBLIC INTOXICATION,Kolkata,15,F,Knife,Other Crime,16,No,1
CYBERCRIME,Meerut,44,F,Other,Other Crime,6,Yes,5
COUNTERFEITING,Bangalore,28,F,Knife,Other Crime,8,No,4
IDENTITY THEFT,Agra,41,F,Unknown,Violent Crime,5,Yes,4
SHOPLIFTING,Patna,46,F,Knife,Other Crime,1,Yes,2
DRUG OFFENSE,Bhopal,35,F,Blunt Object,Other Crime,3,Yes,6
ILLEGAL POSSESSION,Bangalore,67,M,Unknown,Other Crime,16,No,5
IDENTITY THEFT,Delhi,23,F,Knife,Violent Crime,16,No,4
KIDNAPPING,Chennai,39,F,Other,Other Crime,11,No,9
DOMESTIC VIOLENCE,Bangalore,48,F,Blunt Object,Violent Crime,5,No,8
DOMESTIC VIOLENCE,Pune,71,F,Blunt Object,Violent Crime,14,Yes,8
COUNTERFEITING,Hyderabad,32,F,Other,Other Crime,8,No,4
HOMICIDE,Ahmedabad,18,F,Firearm,Other Crime,13,No,10
VEHICLE - STOLEN,Delhi,38,F,Poison,Violent Crime,15,Yes,5
ASSAULT,Kolkata,27,F,Blunt Object,Violent Crime,17,Yes,8
COUNTERFEITING,Meerut,30,F,Knife,Other Crime,13,Yes,4
CYBERCRIME,Surat,17,F,Unknown,Other Crime,12,No,5
SHOPLIFTING,Pune,39,F,Knife,Other Crime,15,No,2
ARSON,Pune,66,F,Firearm,Fire Accident,5,No,9
SEXUAL ASSAULT,Ghaziabad,11,F,Firearm,Violent Crime,9,Yes,9
VANDALISM,Ahmedabad,54,M,Firearm,Other Crime,19,Yes,3
VANDALISM,Delhi,79,M,Explosives,Other Crime,13,Yes,3
FRAUD,Delhi,12,F,Firearm,Other Crime,3,Yes,4
DRUG OFFENSE,Lucknow,19,F,Blunt Object,Other Crime,16,No,6
TRAFFIC VIOLATION,Kalyan,21,F,Knife,Traffic Fatality,8,Yes,2
COUNTERFEITING,Agra,24,M,Unknown,Other Crime,14,Yes,4
TRAFFIC VIOLATION,Jaipur,58,M,Poison,Traffic Fatality,4,No,2
SEXUAL ASSAULT,Hyderabad,51,F,Blunt Object,Violent Crime,17,Yes,9
DRUG OFFENSE,Indore,40,F,Unknown,Other Crime,7,No,6
ROBBERY,Surat,64,M,Blunt Object,Violent Crime,13,Yes,8
BURGLARY,Lucknow,66,F,Unknown,Other Crime,14,Yes,6
FIREARM OFFENSE,Chennai,28,F,Firearm,Fire Accident,8,Yes,8
ILLEGAL POSSESSION,Mumbai,54,F,Unknown,Other Crime,11,No,5
FRAUD,Agra,42,F,Knife,Other Crime,8,No,4
DOMESTIC VIOLENCE,Pune,72,M,Blunt Object,Violent Crime,14,Yes,8
TRAFFIC VIOLATION,Bangalore,23,F,Poison,Traffic Fatality,1,No,2
CYBERCRIME,Mumbai,53,F,Poison,Other Crime,9,No,5
SEXUAL ASSAULT,Ahmedabad,28,F,Firearm,Violent Crime,12,Yes,9
SEXUAL ASSAULT,Hyderabad,27,F,Unknown,Violent Crime,4,No,9
FRAUD,Mumbai,67,F,Other,Other Crime,19,Yes,4
FRAUD,Bangalore,70,F,Other,Other Crime,8,Yes,4
VANDALISM,Delhi,75,F,Blunt Object,Other Crime,4,Yes,3
IDENTITY THEFT,Nagpur,66,F,Unknown,Violent Crime,14,Yes,4
EXTORTION,Hyderabad,24,F,Knife,Other Crime,2,Yes,7
CYBERCRIME,Chennai,44,M,Explosives,Other Crime,15,Yes,5
KIDNAPPING,Chennai,63,F,Knife,Other Crime,9,No,9
IDENTITY THEFT,Delhi,18,M,Blunt Object,Violent Crime,11,Yes,4
PUBLIC INTOXICATION,Ghaziabad,19,F,Unknown,Other Crime,3,No,1
DOMESTIC VIOLENCE,Jaipur,49,M,Unknown,Violent Crime,12,Yes,8
ILLEGAL POSSESSION,Delhi,33,F,Poison,Other Crime,12,No,5
DOMESTIC VIOLENCE,Lucknow,56,M,Other,Violent Crime,4,Yes,8
PUBLIC INTOXICATION,Ahmedabad,32,M,Explosives,Other Crime,1,Yes,1
EXTORTION,Hyderabad,25,F,Explosives,Other Crime,10,Yes,7
ARSON,Delhi,62,F,Firearm,Fire Accident,3,No,9
HOMICIDE,Nashik,56,F,Blunt Object,Other Crime,4,No,10
COUNTERFEITING,Srinagar,27,F,Blunt Object,Other Crime,8,Yes,4
FRAUD,Nagpur,63,M,Explosives,Other Crime,13,No,4
DRUG OFFENSE,Mumbai,34,F,Blunt Object,Other Crime,2,Yes,6
KIDNAPPING,Lucknow,16,F,Firearm,Other Crime,5,Yes,9
SHOPLIFTING,Hyderabad,59,F,Other,Other Crime,13,Yes,2
VEHICLE - STOLEN,Thane,44,F,Unknown,Violent Crime,7,Yes,5
COUNTERFEITING,Bangalore,21,F,Blunt Object,Other Crime,3,Yes,4
ASSAULT,Patna,59,M,Unknown,Violent Crime,2,No,8
EXTORTION,Hyderabad,41,F,Explosives,Other Crime,17,No,7
PUBLIC INTOXICATION,Kolkata,43,F,Knife,Other Crime,18,Yes,1
COUNTERFEITING,Bhopal,15,M,Explosives,Other Crime,6,No,4
FIREARM OFFENSE,Delhi,34,M,Blunt Object,Fire Accident,17,No,8
IDENTITY THEFT,Kolkata,19,F,Firearm,Violent Crime,6,Yes,4
VEHICLE - STOLEN,Bangalore,73,M,Explosives,Violent Crime,13,Yes,5
SEXUAL ASSAULT,Delhi,44,M,Explosives,Violent Crime,1,Yes,9
SHOPLIFTING,Ahmedabad,14,F,Knife,Other Crime,18,No,2
COUNTERFEITING,Kolkata,73,M,Unknown,Other Crime,2,Yes,4
FRAUD,Surat,49,F,Other,Other Crime,18,No,4
TRAFFIC VIOLATION,Pune,61,M,Other,Traffic Fatality,10,No,2
BURGLARY,Nagpur,68,F,Knife,Other Crime,18,No,6
VEHICLE - STOLEN,Kolkata,24,F,Unknown,Violent Crime,1,Yes,5
KIDNAPPING,Ludhiana,69,F,Poison,Other Crime,7,Yes,9
FRAUD,Bangalore,55,F,Poison,Other Crime,11,No,4
ROBBERY,Chennai,49,F,Knife,Violent Crime,19,Yes,8
CYBERCRIME,Bangalore,40,F,Firearm,Other Crime,5,Yes,5
HOMICIDE,Surat,51,F,Explosives,Other Crime,8,No,10
VANDALISM,Mumbai,35,F,Poison,Other Crime,15,Yes,3
COUNTERFEITING,Pune,65,F,Blunt Object,Other Crime,6,No,4
VEHICLE - STOLEN,Jaipur,61,F,Other,Violent Crime,18,Yes,5
VANDALISM,Ahmedabad,35,M,Poison,Other Crime,8,No,3
IDENTITY THEFT,Pune,45,M,Blunt Object,Violent Crime,1,No,4
ARSON,Patna,32,F,Unknown,Fire Accident,12,Yes,9
HOMICIDE,Mumbai,11,F,Other,Other Crime,9,No,10
ASSAULT,Kolkata,40,M,Poison,Violent Crime,14,No,8
TRAFFIC VIOLATION,Mumbai,23,F,Firearm,Traffic Fatality,19,Yes,2
ARSON,Ludhiana,14,M,Poison,Fire Accident,12,Yes,9
CYBERCRIME,Visakhapatnam,23,M,Other,Other Crime,7,No,5
CYBERCRIME,Chennai,35,M,Knife,Other Crime,4,No,5
FIREARM OFFENSE,Delhi,65,M,Knife,Fire Accident,15,No,8
FIREARM OFFENSE,Hyderabad,51,F,Knife,Fire Accident,13,No,8
COUNTERFEITING,Mumbai,35,F,Other,Other Crime,17,No,4
VANDALISM,Bangalore,59,F,Blunt Object,Other Crime,1,Yes,3
FRAUD,Pune,48,F,Knife,Other Crime,4,Yes,4
SEXUAL ASSAULT,Kalyan,18,F,Poison,Violent Crime,19,Yes,9
ROBBERY,Nagpur,58,F,Firearm,Violent Crime,17,Yes,8
ILLEGAL POSSESSION,Kolkata,65,F,Knife,Other Crime,7,No,5
EXTORTION,Nagpur,38,F,Blunt Object,Other Crime,6,Yes,7
IDENTITY THEFT,Ahmedabad,77,F,Explosives,Violent Crime,13,Yes,4
DOMESTIC VIOLENCE,Thane,70,F,Explosives,Violent Crime,8,Yes,8
EXTORTION,Nagpur,11,F,Other,Other Crime,17,Yes,7
FIREARM OFFENSE,Delhi,45,F,Other,Fire Accident,13,No,8
SHOPLIFTING,Thane,71,F,Firearm,Other Crime,3,Yes,2
TRAFFIC VIOLATION,Hyderabad,11,M,Other,Traffic Fatality,10,Yes,2
ILLEGAL POSSESSION,Nashik,39,M,Unknown,Other Crime,3,Yes,5
FIREARM OFFENSE,Meerut,68,M,Explosives,Fire Accident,18,No,8
PUBLIC INTOXICATION,Kolkata,76,M,Explosives,Other Crime,9,Yes,1
EXTORTION,Hyderabad,47,M,Blunt Object,Other Crime,4,Yes,7
IDENTITY THEFT,Ahmedabad,22,F,Other,Violent Crime,18,No,4
EXTORTION,Mumbai,33,M,Poison,Other Crime,8,Yes,7
KIDNAPPING,Indore,55,F,Firearm,Other Crime,11,No,9
BURGLARY,Chennai,11,F,Unknown,Other Crime,7,Yes,6
COUNTERFEITING,Ghaziabad,49,M,Blunt Object,Other Crime,13,Yes,4
IDENTITY THEFT,Kolkata,56,F,Poison,Violent Crime,12,No,4
SEXUAL ASSAULT,Kanpur,69,F,Knife,Violent Crime,11,Yes,9
COUNTERFEITING,Visakhapatnam,79,F,Blunt Object,Other Crime,14,Yes,4
IDENTITY THEFT,Chennai,17,F,Explosives,Violent Crime,19,No,4
ILLEGAL POSSESSION,Nagpur,71,F,Explosives,Other Crime,6,No,5
KIDNAPPING,Kanpur,16,F,Knife,Other Crime,8,Yes,9
ROBBERY,Surat,71,M,Other,Violent Crime,10,No,8
SHOPLIFTING,Srinagar,50,M,Explosives,Other Crime,11,Yes,2
DRUG OFFENSE,Indore,38,M,Blunt Object,Other Crime,8,No,6
PUBLIC INTOXICATION,Hyderabad,39,F,Knife,Other Crime,3,Yes,1
IDENTITY THEFT,Delhi,36,M,Other,Violent Crime,3,No,4
VEHICLE - STOLEN,Bangalore,56,F,Unknown,Violent Crime,6,No,5
TRAFFIC VIOLATION,Bhopal,78,M,Blunt Object,Traffic Fatality,16,No,2
ASSAULT,Ahmedabad,21,M,Other,Violent Crime,1,No,8
ASSAULT,Indore,10,F,Poison,Violent Crime,14,No,8
TRAFFIC VIOLATION,Bhopal,44,F,Knife,Traffic Fatality,7,No,2
TRAFFIC VIOLATION,Chennai,58,M,Knife,Traffic Fatality,8,Yes,2
KIDNAPPING,Ludhiana,45,F,Blunt Object,Other Crime,18,Yes,9
FIREARM OFFENSE,Srinagar,12,F,Poison,Fire Accident,3,No,8
FRAUD,Ludhiana,62,F,Other,Other Crime,2,Yes,4
BURGLARY,Ludhiana,48,F,Blunt Object,Other Crime,7,No,6
ARSON,Mumbai,55,F,Unknown,Fire Accident,5,Yes,9
ASSAULT,Indore,70,F,Blunt Object,Violent Crime,6,No,8
SHOPLIFTING,Mumbai,38,M,Other,Other Crime,11,Yes,2
VEHICLE - STOLEN,Pune,12,F,Explosives,Violent Crime,3,Yes,5
IDENTITY THEFT,Bangalore,30,F,Firearm,Violent Crime,9,Yes,4
ILLEGAL POSSESSION,Chennai,25,F,Blunt Object,Other Crime,3,Yes,5
EXTORTION,Ahmedabad,22,F,Other,Other Crime,9,No,7
SHOPLIFTING,Chennai,69,F,Explosives,Other Crime,15,No,2
BURGLARY,Chennai,31,F,Poison,Other Crime,16,No,6
BURGLARY,Thane,59,M,Poison,Other Crime,9,No,6
ASSAULT,Chennai,51,F,Blunt Object,Violent Crime,4,Yes,8
DOMESTIC VIOLENCE,Bangalore,48,M,Poison,Violent Crime,6,Yes,8
VANDALISM,Kolkata,62,M,Other,Other Crime,4,Yes,3
TRAFFIC VIOLATION,Delhi,50,M,Explosives,Traffic Fatality,5,No,2
IDENTITY THEFT,Kolkata,32,M,Explosives,Violent Crime,19,Yes,4
SEXUAL ASSAULT,Srinagar,40,F,Other,Violent Crime,1,No,9
ROBBERY,Nagpur,55,F,Blunt Object,Violent Crime,7,Yes,8
IDENTITY THEFT,Jaipur,64,M,Unknown,Violent Crime,6,No,4
ARSON,Chennai,59,F,Unknown,Fire Accident,12,Yes,9
DOMESTIC VIOLENCE,Kanpur,12,F,Blunt Object,Violent Crime,4,No,8
PUBLIC INTOXICATION,Kalyan,30,F,Unknown,Other Crime,11,Yes,1
TRAFFIC VIOLATION,Pune,13,F,Knife,Traffic Fatality,13,Yes,2
FIREARM OFFENSE,Faridabad,27,M,Poison,Fire Accident,19,No,8
TRAFFIC VIOLATION,Kanpur,50,F,Firearm,Traffic Fatality,3,Yes,2
COUNTERFEITING,Indore,66,F,Other,Other Crime,5,No,4
SEXUAL ASSAULT,Bangalore,26,M,Firearm,Violent Crime,12,Yes,9
DOMESTIC VIOLENCE,Ahmedabad,35,F,Poison,Violent Crime,9,Yes,8
DRUG OFFENSE,Delhi,29,F,Unknown,Other Crime,6,Yes,6
ARSON,Kolkata,32,F,Firearm,Fire Accident,11,No,9
DRUG OFFENSE,Bangalore,37,F,Firearm,Other Crime,13,No,6
ASSAULT,Bangalore,18,F,Firearm,Violent Crime,6,No,8
BURGLARY,Kanpur,60,M,Poison,Other Crime,1,Yes,6
BURGLARY,Delhi,42,M,Other,Other Crime,11,Yes,6
DOMESTIC VIOLENCE,Mumbai,42,F,Knife,Violent Crime,1,Yes,8
COUNTERFEITING,Nashik,67,M,Unknown,Other Crime,5,No,4
VANDALISM,Lucknow,79,F,Other,Other Crime,13,No,3
ARSON,Bangalore,41,M,Knife,Fire Accident,2,No,9
FRAUD,Pune,45,M,Poison,Other Crime,7,No,4
TRAFFIC VIOLATION,Kolkata,62,M,Unknown,Traffic Fatality,18,Yes,2
ARSON,Bangalore,64,F,Explosives,Fire Accident,18,No,9
FRAUD,Mumbai,67,M,Knife,Other Crime,6,No,4
SHOPLIFTING,Bangalore,67,F,Explosives,Other Crime,6,Yes,2
VANDALISM,Visakhapatnam,45,F,Explosives,Other Crime,9,No,3
ROBBERY,Patna,53,F,Poison,Violent Crime,15,No,8
BURGLARY,Bangalore,68,M,Firearm,Other Crime,6,No,6
ARSON,Mumbai,70,M,Knife,Fire Accident,7,No,9
DRUG OFFENSE,Surat,42,F,Other,Other Crime,5,Yes,6
ARSON,Delhi,15,F,Poison,Fire Accident,18,Yes,9
ILLEGAL POSSESSION,Delhi,57,M,Knife,Other Crime,17,Yes,5
COUNTERFEITING,Mumbai,70,M,Explosives,Other Crime,14,Yes,4
VANDALISM,Hyderabad,42,M,Unknown,Other Crime,8,No,3
SHOPLIFTING,Bangalore,77,F,Poison,Other Crime,1,No,2
SHOPLIFTING,Ahmedabad,40,F,Unknown,Other Crime,5,Yes,2
COUNTERFEITING,Delhi,53,F,Other,Other Crime,7,No,4
SEXUAL ASSAULT,Faridabad,21,M,Other,Violent Crime,12,Yes,9
DOMESTIC VIOLENCE,Kanpur,64,F,Unknown,Violent Crime,6,Yes,8
PUBLIC INTOXICATION,Ahmedabad,36,F,Knife,Other Crime,13,Yes,1
ROBBERY,Pune,14,F,Knife,Violent Crime,12,Yes,8
KIDNAPPING,Delhi,30,F,Blunt Object,Other Crime,10,No,9
CYBERCRIME,Pune,46,M,Firearm,Other Crime,16,Yes,5
ASSAULT,Ghaziabad,48,F,Unknown,Violent Crime,3,Yes,8
SEXUAL ASSAULT,Meerut,60,F,Firearm,Violent Crime,19,No,9
BURGLARY,Delhi,11,M,Firearm,Other Crime,13,No,6
DOMESTIC VIOLENCE,Mumbai,76,F,Other,Violent Crime,14,No,8
ILLEGAL POSSESSION,Delhi,55,M,Knife,Other Crime,13,Yes,5
TRAFFIC VIOLATION,Lucknow,17,F,Unknown,Traffic Fatality,19,No,2
PUBLIC INTOXICATION,Bangalore,50,F,Poison,Other Crime,7,Yes,1
VEHICLE - STOLEN,Pune,73,F,Firearm,Violent Crime,2,No,5
CYBERCRIME,Mumbai,44,F,Blunt Object,Other Crime,11,Yes,5
ILLEGAL POSSESSION,Delhi,64,F,Explosives,Other Crime,12,Yes,5
EXTORTION,Vasai,78,F,Explosives,Other Crime,12,Yes,7
HOMICIDE,Nashik,54,F,Other,Other Crime,8,No,10
BURGLARY,Pune,25,F,Poison,Other Crime,19,No,6
CYBERCRIME,Delhi,44,M,Knife,Other Crime,11,No,5
DRUG OFFENSE,Lucknow,12,F,Firearm,Other Crime,2,No,6
ASSAULT,Lucknow,31,F,Other,Violent Crime,3,Yes,8
BURGLARY,Kolkata,14,F,Explosives,Other Crime,2,Yes,6
ILLEGAL POSSESSION,Meerut,14,M,Knife,Other Crime,9,No,5
CYBERCRIME,Ludhiana,26,F,Poison,Other Crime,17,Yes,5
ILLEGAL POSSESSION,Jaipur,51,F,Firearm,Other Crime,6,No,5
KIDNAPPING,Nagpur,11,F,Unknown,Other Crime,16,No,9
IDENTITY THEFT,Jaipur,43,F,Unknown,Violent Crime,15,No,4
